term,posterior_mean_log_odds,posterior_sd,odds_ratio,or_2.5,or_97.5,posterior_prob_positive,label
Intercept,-1.6699289344535264,0.028293425659292777,0.1882604439947029,0.17810463777383645,0.19899535023949325,0.0,Intercept
C(residence)[T.Rural],-0.1329373450047809,0.053910443259498404,0.8755199460883517,0.7877284825492109,0.9730956706274275,0.0068336217538380595,Rural residence
C(residence)[T.Urban],-0.18514413859337348,0.03686806367790103,0.8309844982827737,0.7730546429765739,0.8932554026548918,2.5594387143001995e-07,Urban residence
drought_shock,1.1595651546871184,0.039107571316942855,3.188546450131903,2.95327379165331,3.442562113063394,1.0,Drought / severe water shortage
food_price_shock,1.3379665078181682,0.03823630822042062,3.811285400951806,3.536096176727067,4.1078906459363385,1.0,Large rise in food prices
livestock_death_shock,0.8287198261345784,0.07376170726943729,2.2903847719432915,1.9820801615867698,2.6466449264847633,1.0,Livestock died
flood_shock,0.8352372219995913,0.15516156896614636,2.3053608657402336,1.7008371088340757,3.1247488037991955,0.9999999633760057,Flood shock
crop_shock,0.8369547107466647,0.1365360696970875,2.309323699171879,1.767107473626855,3.0179126211329748,0.9999999995603741,Crop/agricultural price shock
hhsize_z,0.12714233359277988,0.028161775523587743,1.1355786372665988,1.07459651212697,1.2000214283813895,0.9999968298712565,Household size (z-score)
female_headed,-0.13950452452835924,0.03934422518861711,0.8697890878101013,0.8052365402562971,0.9395165512890569,0.00019575366152246865,Female-headed household
poor,0.0,2.0000000486524243,1.0,0.019841092852348353,50.400449584189204,0.5,Poor household
idp,-0.10209135170806952,0.08797561069300087,0.9029470621447314,0.7599341086034419,1.0728738028802682,0.12293269430070486,IDP household
wash_deprivation,0.48331891620490497,0.039474859717342645,1.6214469282649624,1.5007247996312365,1.75188025267918,1.0,WASH deprivation
livestock_owner,0.24717030902170722,0.04633442830421072,1.280397157397533,1.1692410107488809,1.4021205770242886,0.9999999520919247,Livestock-owning household
crop_activity,-0.4535929231776797,0.10986372050257366,0.6353413133342979,0.5122585426085621,0.7879977606109007,1.824202644495898e-05,Crop activity
business_activity,-0.3497624073256671,0.07373851610265932,0.7048555383380152,0.610003917998602,0.8144559653908843,1.051427979570363e-06,Household business activity
head_literate,-0.5367221287313942,0.044482021675533175,0.584661560202538,0.5358468473935056,0.637923208172651,0.0,Household head literate
