region,sample_n,weighted_population_share_percent,weighted_climate_livelihood_shock_percent,weighted_high_risk_unreached_percent,mean_bayesian_predicted_risk_percent,formal_support_received_percent
Sool,360,2.8449558676532454,87.13246140533278,47.7064255540144,58.22050566144475,7.442934727122561
Bay,408,6.34514505278897,97.61508566326526,65.65402351191074,57.37063318246721,3.4234595106299373
Bakool,408,3.333273719316423,97.62873524734408,65.1568106781455,53.42193585736121,11.414584760961098
Gedo,408,4.245445834734292,93.30118074204205,51.77756355323893,51.526275990783866,6.481947046138973
Sanaag,360,4.568149683328193,78.74513556640868,46.26604048838055,48.55256652868255,0.07977911488182539
Lower Juba,408,4.444791653919119,80.77243862730715,49.06237505622394,46.929626188938066,16.29108192026402
Hiraan,408,4.5252536253832565,83.63375425204185,37.48296164028021,46.714073695915424,10.78621351161428
Bari,408,5.82928657773067,74.30096017478772,44.6265883637271,41.07257449113788,0.23057750909492858
Togdheer,420,5.611438177188903,65.87053034473932,38.591700361965316,39.506677445203806,9.653693259440113
Galgaduud,408,5.5555974515338065,62.44811199967221,44.65798693884084,37.604780694839874,2.100142024041222
Mudug,408,5.94253471504401,60.17689963307562,49.444927574002,37.12090157895958,1.1214695670865615
Awdal,348,6.326376261578483,62.72058730874358,23.158882874824734,36.37259181466094,1.8434952053755476
Nugaal,408,3.101833243636301,60.364301632363734,36.401867115285405,34.90520075833127,1.7099897337563765
Middle Shabelle,408,4.320111385511843,60.06779904920921,37.13173152637192,33.36091146015219,6.31246635095309
Waqooyi Galbeed,624,10.538809461328338,65.50084300928603,24.243041664029832,32.85437182826747,0.6732151315024217
Banadir,612,12.719739158715187,62.834679675721084,42.53489051850071,28.16856645516789,1.7277012956599076
Lower Shabelle,408,9.747258130608959,68.25016542074569,18.65979424547932,26.67130429054153,0.25315365982237703
